Unnamed: 0,label,message,msg_new
10366,-1,如果你的电脑可以运行Windows7/Windows8,如果 你 的 电脑 可以 运行 Windows7 / Windows8
10264,-1,珍珠女人心，秀媛堂送真情”三八活动将于x月x日开始，珍珠细白面膜x.x折，美颜和雪颜系列全部x折。,珍珠 女人 心 ， 秀媛堂 送 真情 ” 三八 活动 将 于 x 月 x 日 开始 ， 珍珠 细白 面膜 x . x 折 ， 美颜 和 雪颜 系列 全部 x 折 。
10830,-1,扫描下载软App注册验证身份信息,扫描 下载 软 App 注册 验证 身份 信息
10470,-1,微软公司是一家总部位于美国的跨国科技公司,微软公司 是 一家 总部 位于 美国 的 跨国 科技 公司
10676,-1,房地产企业加速向一线城市布局,房地产 企业 加速 向 一线 城市布局
11230,-1,你会像马达那样找我吗会会一直找我吗会会一直找到死么会你撒谎,你 会 像 马达 那样 找 我 吗 会会 一直 找 我 吗 会会 一直 找到 死 么 会 你 撒谎
10902,-1,x、银杞明目汤：银耳枸杞各xx克,x 、 银杞 明目 汤 ： 银耳 枸杞 各 xx 克
11054,-1,明儿过后就我一个人在无锡了好朋友们都走了一个月回来的不知道什么时候回来的,明儿 过后 就 我 一个 人 在 无锡 了 好 朋友 们 都 走 了 一个月 回来 的 不 知道 什么 时候 回来 的
11496,-1,为国家挽回经济损失2000余万元,为 国家 挽回 经济损失 2000 余万元
10876,-1,xx千伏三回地下电缆隧道工程主体全长x,xx 千伏 三回 地下 电缆 隧道 工程 主体 全长 x
11780,-1,下飞机第一件事就是把金熊猫卡丢垃圾桶了,下 飞机 第一件 事 就是 把 金 熊猫 卡 丢 垃圾桶 了
10748,-1,被：希望法院对我从轻处罚,被 ： 希望 法院 对 我 从轻 处罚
10061,-1,并斥责所有质疑文登警方的人“意图破坏司法”,并 斥责 所有 质疑 文登 警方 的 人 “ 意图 破坏 司法 ”
10054,-1,再从Gxx沪蓉高速的苏南硕放机场收费站上高速绕行,再 从 Gxx 沪蓉 高速 的 苏南 硕放 机场 收费站 上 高速 绕行
1021,-1,【易方达】股民的“闲钱宝”，升级版的159001！易方达保证金收益货币基金已在深交所上市、真正全路径T+0的保证金理财产品！无论是买入还是申购，当日均可卖出或赎回，无缝对接股票投资。投资者判断有行情时，卖出/赎回159001，资金马上可买股票；判断没行情时，卖出股票，马上可买入/申购159001追求增值，敬请关注！基金有风险，详询4008818088。,【 易方达 】 股民 的 “ 闲钱 宝 ” ， 升级版 的 159001 ！ 易方达 保证金 收益 货币基金 已 在 深交所 上市 、 真正 全 路径 T + 0 的 保证金 理财产品 ！ 无论是 买入 还是 申购 ， 当日 均 可 卖出 或 赎回 ， 无缝 对接 股票投资 。 投资者 判断 有 行情 时 ， 卖出 / 赎回 159001 ， 资金 马上 可买 股票 ； 判断 没 行情 时 ， 卖出 股票 ， 马上 可 买入 / 申购 159001 追求 增值 ， 敬请 关注 ！ 基金 有 风险 ， 详询 4008818088 。
1159,-1,弘阳地产儿童绘画大赛启动，弘阳楼盘业主子女均可参与，题材围绕“弘阳”相关事宜，作品尺寸统一8开，优秀作品统一参展奖品丰厚。询85613898【弘阳地产】,弘阳 地产 儿童 绘画 大赛 启动 ， 弘阳 楼盘 业主 子女 均 可 参与 ， 题材 围绕 “ 弘阳 ” 相关 事宜 ， 作品 尺寸 统一 8 开 ， 优秀作品 统一 参展 奖品 丰厚 。 询 85613898 【 弘阳 地产 】
10118,-1,5倍每次晚20点开盘注册地址注册地址,5 倍 每次 晚 20 点 开盘 注册 地址 注册 地址
11649,-1,xx°纵览黄浦江无敌江景,xx ° 纵览 黄浦江 无敌 江景
11096,-1,就好像飞机失事前你迫切的需要一包降落伞,就 好像 飞机 失事 前 你 迫切 的 需要 一包 降落伞
11603,-1,给我们送中药了师傅说我最多17,给 我们 送 中药 了 师傅 说 我 最 多 17
10420,-1,监拍68岁老人持拐杖抓捕持刀杀人嫌犯,监拍 68 岁 老人 持 拐杖 抓捕 持刀 杀人 嫌犯
10466,-1,客栈股权诚信转让：想开客栈的朋友们看过来,客栈 股权 诚信 转让 ： 想开 客栈 的 朋友 们 看 过来
10881,-1,寻找x月x号晚上x点到x点半之间,寻找 x 月 x 号 晚上 x 点到 x 点半 之间
10808,-1,出现子宫活动受限或粘连固定的情况,出现 子宫 活动 受限 或 粘连 固定 的 情况
10700,-1,房地产税法正式列入立法规划或抑制房企囤地,房地产 税法 正式 列入 立法 规划 或 抑制 房企 囤 地
10237,-1,就使用我的邀请码inay37下载并登录浙江移动手机营业厅,就 使用 我 的 邀请 码 inay37 下载 并 登录 浙江 移动 手机 营业厅
11162,-1,扬中公安城东派出所办案无作为,扬中 公安 城东 派出所 办案 无 作为
10359,-1,安徽省业余高尔夫球赛于本日下午在黄山高尔夫球场彩虹谷1,安徽省 业余 高尔夫球赛 于本 日 下午 在 黄山 高尔夫球场 彩虹 谷 1
